ACCX, ACCY, ACCZ, PITCH, ROLL, YAW
0.000012, 0.000005, 0.000012, 0.000059, 0.000051, 0.000006
0.000184, 0.000026, 0.000004, 0.000054, 0.000405, 0.008958
0.002267, 0.000460, 0.000121, 0.000281, 0.002063, 0.161812
0.002822, 0.000021, 0.000114, 0.000188, 0.003027, 0.013137
0.001495, 0.000626, 0.000181, 0.001033, 0.001635, 0.085025
0.000383, 0.000549, 0.000035, 0.000119, 0.000425, 0.031654
0.000259, 0.000089, 0.000085, 0.000077, 0.001497, 0.034380
0.000010, 0.000004, 0.000012, 0.000034, 0.000150, 0.000050
0.000004, 0.000003, 0.000009, 0.000089, 0.000064, 0.000015
0.000006, 0.000004, 0.000003, 0.000066, 0.000029, 0.000025
0.000009, 0.000008, 0.000004, 0.000014, 0.000013, 0.000010
0.000004, 0.000001, 0.000005, 0.000008, 0.000019, 0.000046
0.000005, 0.000003, 0.000010, 0.000008, 0.000026, 0.000016
0.000010, 0.000009, 0.000004, 0.000029, 0.000025, 0.000016
0.000005, 0.000003, 0.000003, 0.000019, 0.000017, 0.000043
0.000003, 0.000003, 0.000013, 0.000031, 0.000034, 0.000025
0.000001, 0.000006, 0.000020, 0.000005, 0.000074, 0.000018
0.000009, 0.000001, 0.000003, 0.000012, 0.000059, 0.000002
0.000010, 0.000004, 0.000019, 0.000053, 0.000027, 0.000010
0.000007, 0.000015, 0.000011, 0.000053, 0.000406, 0.000017
0.000710, 0.001291, 0.000484, 0.080706, 0.014019, 0.000990
0.003934, 0.013578, 0.004451, 0.143082, 0.014017, 0.008147
0.001264, 0.017835, 0.020943, 0.034922, 0.006159, 0.005946
0.000833, 0.000612, 0.007393, 0.158211, 0.009116, 0.006367
0.001294, 0.000074, 0.007132, 0.010759, 0.001776, 0.000814
0.000702, 0.000132, 0.001138, 0.036751, 0.001000, 0.005924
0.000170, 0.000030, 0.000109, 0.002265, 0.000086, 0.001157
0.000097, 0.000022, 0.000100, 0.000433, 0.000061, 0.001223
0.000065, 0.000026, 0.000185, 0.000768, 0.000018, 0.000154
0.000035, 0.000014, 0.000251, 0.003280, 0.000024, 0.000325
0.000058, 0.000010, 0.000068, 0.002289, 0.000065, 0.000105
0.000047, 0.000020, 0.000324, 0.004149, 0.000055, 0.000326
0.000125, 0.000017, 0.000213, 0.002946, 0.000030, 0.000427
0.000083, 0.000020, 0.000151, 0.001047, 0.000040, 0.000348
0.000064, 0.000022, 0.000187, 0.002165, 0.000016, 0.000190
0.000026, 0.000010, 0.000161, 0.001239, 0.000098, 0.000045
0.000115, 0.000018, 0.000185, 0.000999, 0.000014, 0.000490
0.000190, 0.000029, 0.000877, 0.059951, 0.000127, 0.002151
0.000224, 0.000193, 0.002356, 0.009808, 0.000426, 0.001727
0.000263, 0.006407, 0.014834, 0.045604, 0.006287, 0.003803
0.000214, 0.016821, 0.009370, 0.025323, 0.002412, 0.011518
0.000703, 0.004458, 0.000478, 0.064635, 0.000407, 0.005458
0.001441, 0.000133, 0.001471, 0.026544, 0.009191, 0.029881
0.000026, 0.000003, 0.000030, 0.000450, 0.001437, 0.000649
0.000008, 0.000002, 0.000002, 0.000033, 0.000090, 0.000032
0.000002, 0.000003, 0.000016, 0.000009, 0.000016, 0.000015
0.000004, 0.000007, 0.000010, 0.000020, 0.000015, 0.000016
0.000005, 0.000006, 0.000007, 0.000014, 0.000051, 0.000040
0.000005, 0.000002, 0.000036, 0.000054, 0.000027, 0.000023
0.000005, 0.000002, 0.000005, 0.000003, 0.000033, 0.000014
0.000001, 0.000006, 0.000019, 0.000025, 0.000016, 0.000018
0.000002, 0.000001, 0.000007, 0.000007, 0.000051, 0.000039
0.000004, 0.000007, 0.000000, 0.000015, 0.000057, 0.000012
0.000049, 0.000029, 0.000022, 0.000056, 0.000891, 0.003709
0.000525, 0.000008, 0.000051, 0.000622, 0.025917, 0.005036
0.037856, 0.000497, 0.006529, 0.009600, 0.306795, 0.028111
0.007035, 0.000262, 0.012352, 0.006542, 0.105043, 0.024982
0.002004, 0.000062, 0.043193, 0.013741, 0.169853, 0.002700
0.000084, 0.000168, 0.000494, 0.003903, 0.141040, 0.000620
0.000006, 0.000005, 0.000024, 0.000026, 0.003163, 0.000074
0.000007, 0.000003, 0.000004, 0.000060, 0.000503, 0.000060
0.000005, 0.000002, 0.000013, 0.000012, 0.000557, 0.000027
0.000005, 0.000007, 0.000005, 0.000039, 0.000546, 0.000031
0.000006, 0.000006, 0.000040, 0.000283, 0.004071, 0.000031
0.000011, 0.000002, 0.000003, 0.000043, 0.000830, 0.000015
0.000013, 0.000006, 0.000005, 0.000016, 0.000116, 0.000032
0.000006, 0.000002, 0.000015, 0.000022, 0.000216, 0.000020
0.000007, 0.000004, 0.000005, 0.000019, 0.000195, 0.000031
0.000014, 0.000006, 0.000012, 0.000017, 0.001042, 0.000042
0.000008, 0.000013, 0.000016, 0.000039, 0.001147, 0.000113
0.000005, 0.000008, 0.000010, 0.000082, 0.001713, 0.000032
0.000020, 0.000008, 0.003576, 0.008613, 0.071467, 0.000152
0.001523, 0.000060, 0.017075, 0.000250, 0.088819, 0.000916
0.004462, 0.000036, 0.003705, 0.001077, 0.148922, 0.000187
0.035144, 0.000771, 0.009440, 0.001718, 0.112628, 0.003010
0.003114, 0.000343, 0.004517, 0.006646, 0.705982, 0.018757
0.000010, 0.000002, 0.000017, 0.000052, 0.000026, 0.000049
0.000008, 0.000002, 0.000005, 0.000012, 0.000044, 0.000006
0.000002, 0.000001, 0.000003, 0.000025, 0.000045, 0.000015
0.000003, 0.000006, 0.000003, 0.000011, 0.000006, 0.000028
0.000005, 0.000003, 0.000012, 0.000028, 0.000035, 0.000023
0.000003, 0.000001, 0.000006, 0.000010, 0.000050, 0.000011
0.000006, 0.000003, 0.000009, 0.000032, 0.000087, 0.000020
0.000004, 0.000002, 0.000010, 0.000007, 0.000079, 0.000038
0.000003, 0.000009, 0.000006, 0.000012, 0.000028, 0.000018
0.000657, 0.000021, 1.998177, 0.000012, 0.000004, 0.000104
